Searchword,API,URL,Title,Summary,Article,Title_Sentiment,Title_Positive,Title_Neutral,Title_Negative,Article_Sentiment,Article_Positive,Article_Neutral,Article_Negative,Verified,Language,NER,Topics,Date,Source,key
Clearstream,Twitter API,Twitter,This week's  COZISayWHAT winner will receive an AntennasDirect ClearStream 2MAX® UHG/VHF Indoor/Outdoor HDTV Anten…,,This week's  COZISayWHAT winner will receive an AntennasDirect ClearStream 2MAX® UHG/VHF Indoor/Outdoor HDTV Anten…,neutral,0.01,0.94,0.05,neutral,0.01,0.94,0.05,True,English,[],"['AntennasDirect ClearStream 2MAX® UHG/VHF Indoor', 'Outdoor HDTV Anten', 'COZISayWHAT winner', 'AntennasDirect ClearStream 2MAX® UHG/VHF Indoor', 'Outdoor HDTV Anten', 'COZISayWHAT winner']",2021-07-06,Unknown,
Clearstream,Twitter API,Twitter,Clearstream Agency is an award winning boutique agency focused on developing comprehensive communication strategie…,,Clearstream Agency is an award winning boutique agency focused on developing comprehensive communication strategie…,neutral,0.12,0.88,0.0,neutral,0.12,0.88,0.0,True,English,"['Clearstream Agency', 'Clearstream Agency']","['award winning boutique agency', 'comprehensive communication strategie', 'Clearstream Agency', 'award winning boutique agency', 'comprehensive communication strategie', 'Clearstream Agency']",2021-07-06,Unknown,
Clearstream,Twitter API,Twitter,All in one place:  Clearstream's European Issuer Portal allows issuers from all over the continent to pool all thei…,,All in one place:  Clearstream's European Issuer Portal allows issuers from all over the continent to pool all thei…,neutral,0.01,0.97,0.02,neutral,0.01,0.97,0.02,True,English,"['Clearstream', 'Clearstream']","['European Issuer Portal', 'one place', 'Clearstream', 'issuers', 'continent', 'European Issuer Portal', 'one place', 'Clearstream', 'issuers', 'continent']",2021-07-06,Unknown,
Clearstream,Twitter API,Twitter,"billhra Surprisingly, only the VHF kit on an AntennasDirect Clearstream 2 antenna. No need for a yagi or hulking V…",,"billhra Surprisingly, only the VHF kit on an AntennasDirect Clearstream 2 antenna. No need for a yagi or hulking V…",neutral,0.03,0.93,0.04,neutral,0.03,0.93,0.04,True,English,[],"['AntennasDirect Clearstream 2 antenna', 'VHF kit', 'billhra', 'yagi', 'AntennasDirect Clearstream 2 antenna', 'VHF kit', 'billhra', 'yagi']",2021-07-05,Unknown,
Clearstream,Twitter API,Twitter,Fitch Affirms Clearstream Banking At 'AA'; Outlook Stable,,Fitch Affirms Clearstream Banking At 'AA'; Outlook Stable,positive,0.72,0.28,0.0,positive,0.72,0.28,0.0,True,English,"['Fitch', 'Fitch']","['Clearstream Banking', 'Outlook Stable', 'Fitch', 'AA', 'Clearstream Banking', 'Outlook Stable', 'Fitch', 'AA']",2021-07-05,Unknown,
Clearstream,Twitter API,Twitter,Antennasdirect Love my Clearstream 2V. Consistently get 20 channels indoors through concrete block walls. Dependin…,,Antennasdirect Love my Clearstream 2V. Consistently get 20 channels indoors through concrete block walls. Dependin…,positive,1.0,0.0,0.0,positive,1.0,0.0,0.0,True,English,[],"['concrete block walls', 'Clearstream 2V', '20 channels indoors', 'Antennasdirect', 'Dependin', 'concrete block walls', 'Clearstream 2V', '20 channels indoors', 'Antennasdirect', 'Dependin']",2021-07-04,Unknown,
Clearstream,Twitter API,Twitter,"Jan Williams, Head of Global Markets at  Clearstream, says the current link enables Clearstream clients to settle t…",,"Jan Williams, Head of Global Markets at  Clearstream, says the current link enables Clearstream clients to settle t…",neutral,0.0,0.99,0.01,neutral,0.0,0.99,0.01,True,English,"['Clearstream', 'Clearstream', 'Clearstream', 'Clearstream']","['Jan Williams', 'Global Markets', 'current link', 'Clearstream clients', 'Head', 'Jan Williams', 'Global Markets', 'current link', 'Clearstream clients', 'Head']",2021-07-03,Unknown,
Clearstream,Twitter API,Twitter,Interesting move for the ICSDs by bankofengland embracing Clearstream EuroclearGroup et al,,Interesting move for the ICSDs by bankofengland embracing Clearstream EuroclearGroup et al,positive,0.93,0.07,0.0,positive,0.93,0.07,0.0,True,English,"['ICSDs', 'bankofengland', 'Clearstream EuroclearGroup', 'ICSDs', 'bankofengland', 'Clearstream EuroclearGroup']","['Interesting move', 'Clearstream EuroclearGroup', 'ICSDs', 'bankofengland', 'Interesting move', 'Clearstream EuroclearGroup', 'ICSDs', 'bankofengland']",2021-07-03,Unknown,
Barclays,Google API,https://www.ft.com/content/abc04cc0-ea53-4ecb-8c1e-49c85014fa3f,Barclays stops UK clients from sending funds to Binance,Barclays has stopped UK customers from transferring funds to Binance after the Financial Conduct Authority last month said the digital asset exchange was not ...,Barclays has stopped UK customers from transferring funds to Binance after the Financial Conduct Authority last month said the digital asset exchange was not ...,neutral,0.01,0.98,0.01,negative,0.09,0.29,0.62,True,English,,,2021-07-06,ft.com,
Barclays,Google API,https://www.coindesk.com/barclays-block-is-based-on-inaccurate-understanding-binance-says,Barclays Block Is Based on 'Inaccurate Understanding ...,,Barclays Block Is Based on 'Inaccurate Understanding ...,negative,0.0,0.0,1.0,negative,0.0,0.0,1.0,True,English,,,2021-07-06,coindesk.com,
Barclays,Google API,https://www.finextra.com/newsarticle/38401/barclays-stops-uk-card-payments-to-binance,Barclays stops UK card payments to Binance,,Barclays stops UK card payments to Binance,neutral,0.01,0.98,0.01,neutral,0.01,0.98,0.01,True,English,,,2021-07-06,finextra.com,
Barclays,Google API,https://www.finews.asia/people/34852-barclays-nets-ex-ubs-private-banker-in-singapore,Barclays Nets Ex-UBS Private Banker in Singapore,"Barclays appointed Evonne Tan as head of Barclays Private Bank, Singapore, according to a statement, reporting to James Penny, head of Asia ex-India, private ...","Barclays appointed Evonne Tan as head of Barclays Private Bank, Singapore, according to a statement, reporting to James Penny, head of Asia ex-India, private ...",neutral,0.0,1.0,0.0,neutral,0.0,1.0,0.0,True,English,,,2021-07-06,finews.asia,
Barclays,Google API,https://www.efinancialcareers.com/news/2021/06/barclays-salary-increase,Barclays follows JPMorgan with salary increase as dominos fall,"This means that, as at JPMorgan now, Barclays' first year analysts in the U.S. will be on salaries of $100k following a $15k hike. Associates and vice presidents are ...","This means that, as at JPMorgan now, Barclays' first year analysts in the U.S. will be on salaries of $100k following a $15k hike. Associates and vice presidents are ...",neutral,0.01,0.98,0.01,neutral,0.07,0.9,0.03,True,English,,,2021-06-30,efinancialcareers.com,
Barclays,Google API,https://www.altfi.com/article/8058_credit-kudos-adds-ex-barclays-exec-to-its-senior-team,Credit Kudos adds ex-Barclays exec to its senior team,"Open banking-powered credit referencing agency Credit Kudos has bolstered its senior team with former legal counsel at Barclays UK, Manoj Peiris. Peiris has ...","Open banking-powered credit referencing agency Credit Kudos has bolstered its senior team with former legal counsel at Barclays UK, Manoj Peiris. Peiris has ...",positive,0.99,0.01,0.0,neutral,0.09,0.9,0.01,True,English,,,2021-06-30,altfi.com,
Barclays,Google API,https://www.thetimes.co.uk/article/barclays-set-to-move-thousands-of-its-workers-across-canary-wharf-hxw55k8vn,Barclays to move thousands of Canary Wharf workers,,Barclays to move thousands of Canary Wharf workers,neutral,0.04,0.86,0.1,neutral,0.04,0.86,0.1,True,English,,,2021-07-01,thetimes.co.uk,
Barclays,Google API,https://www.thetradenews.com/barclays-global-electronic-trading-head-al-khudairi-departs/,Barclays global electronic trading head Al-Khudairi departs,"The global head of electronic trading at Barclays has departed the UK investment bank after just over three years in the role, The TRADE understands.","The global head of electronic trading at Barclays has departed the UK investment bank after just over three years in the role, The TRADE understands.",neutral,0.0,1.0,0.0,neutral,0.01,0.98,0.01,True,English,,,2021-07-01,thetradenews.com,
Barclays,Google API,https://www.hemeltoday.co.uk/news/environment/dacorum-environmental-protesters-target-barclays-with-dirty-protest-3298657,Dacorum environmental protesters target Barclays with 'dirty ...,,Dacorum environmental protesters target Barclays with 'dirty ...,negative,0.0,0.0,1.0,negative,0.0,0.0,1.0,True,English,,,2021-07-06,hemeltoday.co.uk,
Barclays,PyNews API,https://www.reuters.com/business/finance/barclays-moves-investment-bank-into-its-london-headquarters-2021-06-30/,Barclays moves investment bank into its London headquarters - Reuters,"Britain' Barclays (BARC.L) will move its staff from across Canary Wharf into its headquarters in the London financial district, the bank said on Wednesday.","A Barclays bank building is seen at Canary Wharf in London, Britain May 17, 2017. REUTERS/Stefan Wermuth/FilesLONDON, June 30 (Reuters) - Britain' Barclays (BARC.L) will move its staff from across Ca… [+436 chars]",neutral,0.0,1.0,0.0,neutral,0.0,0.99,0.01,True,English,,,2021-06-30,reuters.com,
Barclays,PyNews API,https://www.reuters.com/business/moves-barclays-nabs-ubs-banker-tan-lead-singapore-private-bank-2021-07-06/,MOVES Barclays nabs UBS banker Tan to lead Singapore private bank - Reuters,"Barclays <a href="""" target=""_blank"">(BARC.L)</a> has appointed former UBS <a href="""" target=""_blank"">(UBSG.S)</a> banker Evonne Tan as its head of private banking in Singapore, th…","Barclays <a href="""" target=""_blank"">(BARC.L)</a> has appointed former UBS <a href="""" target=""_blank"">(UBSG.S)</a> banker Evonne Tan as its head of private banking in Singapore, th…",neutral,0.01,0.99,0.0,neutral,0.01,0.99,0.0,True,English,,,2021-06-30,reuters.com,
Barclays,PyNews API,https://www.entrepreneur.com/video/376380,"One Business Partner Managed a Billion-Dollar Portfolio at Barclays, the Other Heads an Ivy League Medical School Department. Can They Create a Unicorn Together?","Michael Nelson is the CEO of Intrommune Therapeutics, while Dr. Bill Reisacher sits on its scientific advisory board.","In the fourth episode of Unicorn Hunters (a show that gives viewers not only a deeper look into the sort of conversations that take place between powerful investors and entrepreneurs, but also allows… [+1458 chars]",neutral,0.02,0.97,0.01,negative,0.39,0.1,0.51,True,English,,,2021-06-30,entrepreneur.com,
Barclays,PyNews API,https://www.wsj.com/articles/flaws-emerge-in-justice-department-strategy-for-prosecuting-wall-street-11625506658,Flaws Emerge in DOJ Strategy for Prosecuting Wall Street...,A Barclays fraud case shows how a push to target financial-industry wrongdoers can run into resistance from judges,"Early one July morning in 2016, Robert Bogucki, a senior executive at Barclays PLC, walked into what he expected to be a short meeting with the British banks lawyers to go over a five-year-old transa… [+1321 chars]",negative,0.0,0.0,1.0,neutral,0.02,0.77,0.21,True,English,,,2021-06-30,wsj.com,
Barclays,PyNews API,https://www.marketwatch.com/story/june-jobs-report-bolsters-case-for-fed-to-start-slowing-down-bond-buys-this-year-11625238698,: June jobs report bolsters case for Fed to start slowing down bond-buys this year,"The strong U.S. June employment report adds to the case for the Fed to announce and start slowing down its asset purchases before the end of the year, economists said.","The strong growth in U.S. employment in June supports the forecast that the Federal Reserve will start to slow down its asset purchases this year, said Michael Gapen, chief U.S. economist at Barclays… [+3201 chars]",neutral,0.02,0.8,0.18,neutral,0.35,0.56,0.09,True,English,,,2021-06-30,marketwatch.com,
Barclays,PyNews API,https://www.efinancialcareers.com/news/2021/06/stephen-dainton-barclays,Are the Credit Suisse hires leaving Barclays equities business? - eFinancialCareers,Are the Credit Suisse hires leaving Barclays equities business?  eFinancialCareers,"Depending upon whom you talk to,  Naz Al-Khudairi's exit from Barclays is either entirely unremarkable or a sign of the changing guard. If it's the latter, other moves may be in the offing. Al-Khud… [+3635 chars]",neutral,0.02,0.97,0.01,negative,0.0,0.15,0.85,True,English,,,2021-06-30,efinancialcareers.com,
Barclays,Bing API,https://economictimes.indiatimes.com/industry/transportation/airlines-/-aviation/adani-to-raise-over-1-billion-to-refinance-mumbai-international-airport-debt/articleshow/84206824.cms,Adani to raise over $1 billion to refinance Mumbai International Airport debt,"Adani Airport Holdings, which will formally own a majority in MIAL, is now in talks with a global consortium of foreign lenders, including Standard Chartered Bank, Barclays, Deutsche and JP Morgan, to raise more than $1 billion in offshore loans.","Adani Airport Holdings, which will formally own a majority in MIAL, is now in talks with a global consortium of foreign lenders, including Standard Chartered Bank, Barclays, Deutsche and JP Morgan, to raise more than $1 billion in offshore loans.",neutral,0.01,0.57,0.42,neutral,0.01,0.98,0.01,True,English,,,2021-07-07,economictimes.indiatimes.com,
Barclays,Twitter API,Twitter,FruitsAdventure OfficialTravlad The APR is ridiculous on this. Why would you even waste your time with Barclays…,,FruitsAdventure OfficialTravlad The APR is ridiculous on this. Why would you even waste your time with Barclays…,negative,0.0,0.02,0.98,negative,0.0,0.02,0.98,True,English,,,2021-07-07,Unknown,
Barclays,Twitter API,Twitter,"BarclaysUKHelp AZahir53858381 I'm closing my account too. Bye Barclays, plenty of other banks that do the same as you.",,"BarclaysUKHelp AZahir53858381 I'm closing my account too. Bye Barclays, plenty of other banks that do the same as you.",neutral,0.12,0.87,0.01,neutral,0.12,0.87,0.01,True,English,,,2021-07-07,Unknown,
Barclays,Twitter API,Twitter,BotHunterBSC theboxmeister cz_binance Barclays Perfect,,BotHunterBSC theboxmeister cz_binance Barclays Perfect,positive,0.96,0.04,0.0,positive,0.96,0.04,0.0,True,English,,,2021-07-07,Unknown,
Barclays,Twitter API,Twitter,BarclaysUKHelp Thanks. Sometimes doing business with Barclays is like growing your own vegetables,,BarclaysUKHelp Thanks. Sometimes doing business with Barclays is like growing your own vegetables,positive,0.99,0.01,0.0,positive,0.99,0.01,0.0,True,English,,,2021-07-07,Unknown,
Barclays,Twitter API,Twitter,JumperWave Barclays binance Get in debt and short Barclays,,JumperWave Barclays binance Get in debt and short Barclays,negative,0.01,0.19,0.8,negative,0.01,0.19,0.8,True,English,,,2021-07-07,Unknown,
Barclays,Twitter API,Twitter,thewealthdad And over the last year the Core Bond Index (Barclays AGG) is in the bottom quartile &amp; getting crushed…,,thewealthdad And over the last year the Core Bond Index (Barclays AGG) is in the bottom quartile &amp; getting crushed…,neutral,0.0,0.78,0.22,neutral,0.0,0.78,0.22,True,English,,,2021-07-07,Unknown,
Barclays,Twitter API,Twitter,HukAleksandra Barclays should never stop u spending your money!!!  .. Maybe they could give out a massage before t…,,HukAleksandra Barclays should never stop u spending your money!!!  .. Maybe they could give out a massage before t…,neutral,0.08,0.82,0.1,neutral,0.08,0.82,0.1,True,English,,,2021-07-07,Unknown,
Barclays,Twitter API,Twitter,Barclays don't know their arse from their elbow on this.  banksters  fuckBarclays,,Barclays don't know their arse from their elbow on this.  banksters  fuckBarclays,negative,0.05,0.14,0.81,negative,0.05,0.14,0.81,True,English,,,2021-07-07,Unknown,
Barclays,Twitter API,Twitter,"dens_club FlurryFi Could you explain the fintech veterans's ownership and control, such as JP Morgan, Barclays, O…",,"dens_club FlurryFi Could you explain the fintech veterans's ownership and control, such as JP Morgan, Barclays, O…",neutral,0.07,0.8,0.13,neutral,0.07,0.8,0.13,True,English,,,2021-07-07,Unknown,
Barclays,Twitter API,Twitter,Binance crypto exchange responds to Barclays decision to stop payments,,Binance crypto exchange responds to Barclays decision to stop payments,neutral,0.02,0.94,0.04,neutral,0.02,0.94,0.04,True,English,,,2021-07-07,Unknown,
Barclays,Twitter API,Twitter,Barclays understands the value of big spend categories like  contingentlabor and services. Join us for our upcoming…,,Barclays understands the value of big spend categories like  contingentlabor and services. Join us for our upcoming…,positive,0.7,0.27,0.03,positive,0.7,0.27,0.03,True,English,,,2021-07-07,Unknown,
Barclays,Twitter API,Twitter,george_photiou HukAleksandra And the latest from  Barclays is....,,george_photiou HukAleksandra And the latest from  Barclays is....,neutral,0.03,0.96,0.01,neutral,0.03,0.96,0.01,True,English,,,2021-07-07,Unknown,
Barclays,Twitter API,Twitter,"RealVision I would love to see a show on the legality of Barclays suspending transfers to Binance, if they're even allowed to",,"RealVision I would love to see a show on the legality of Barclays suspending transfers to Binance, if they're even allowed to",positive,1.0,0.0,0.0,positive,1.0,0.0,0.0,True,English,,,2021-07-07,Unknown,
EuroNext,Google API,https://www.datacenterdynamics.com/en/news/euronext-ceo-on-post-brexit-uk-data-center-exit-big-decisions-come-with-big-consequences/,Euronext CEO on post-Brexit UK data center exit: “Big ...,Europe's largest stock exchange Euronext is moving its data center out of London to Italy because it needs a “predictable regulatory environment” that the UK ...,Europe's largest stock exchange Euronext is moving its data center out of London to Italy because it needs a “predictable regulatory environment” that the UK ...,neutral,0.0,0.99,0.01,neutral,0.01,0.85,0.14,True,English,"['Euronext', 'Euronext']","['post-Brexit UK data center exit', 'Euronext CEO', 'Big', 'largest stock exchange', 'predictable regulatory environment', 'data center', 'Europe', 'Euronext', 'London', 'Italy', 'UK']",2021-07-01,datacenterdynamics.com,
EuroNext,Google API,https://www.globenewswire.com/news-release/2021/07/06/2258424/0/en/Half-year-statement-of-the-liquidity-contract-of-Euronext-NV.html,Half-year statement of the liquidity contract of Euronext NV,"Amsterdam, Brussels, Dublin, Lisbon, Milan, Oslo and Paris – 6 July 2021 – Euronext announced today that the transactions carried out under the liquidity contract ...","Amsterdam, Brussels, Dublin, Lisbon, Milan, Oslo and Paris – 6 July 2021 – Euronext announced today that the transactions carried out under the liquidity contract ...",neutral,0.0,0.99,0.01,neutral,0.0,0.99,0.01,True,English,"['Euronext NV', 'Euronext']","['Half-year statement', 'liquidity contract', 'Euronext NV', 'liquidity contract', 'Amsterdam', 'Brussels', 'Dublin', 'Lisbon', 'Milan', 'Oslo', 'Paris', 'July', 'Euronext', 'transactions']",2021-07-06,globenewswire.com,
EuroNext,Google API,https://www.hellenicshippingnews.com/financial-investors-trim-net-long-in-euronext-wheat/,Financial investors trim net long in Euronext wheat | Hellenic ...,,Financial investors trim net long in Euronext wheat | Hellenic ...,neutral,0.01,0.98,0.01,neutral,0.01,0.98,0.01,True,English,"['Euronext wheat', 'Hellenic', 'Euronext wheat', 'Hellenic']","['Financial investors', 'Euronext wheat', 'Hellenic', 'Financial investors', 'Euronext wheat', 'Hellenic']",2021-07-02,hellenicshippingnews.com,
EuroNext,Google API,https://finance.yahoo.com/news/iconic-funds-physical-bitcoin-etp-140000683.html,Iconic Funds' Physical Bitcoin ETP Listing in Paris and Amsterdam on Euronext,"Michael Geister, Iconic's newly appointed Head of Crypto ETPs says, 'Euronext being one of the largest exchanges in Europe is joining the club of Crypto-friendly ...","Michael Geister, Iconic's newly appointed Head of Crypto ETPs says, 'Euronext being one of the largest exchanges in Europe is joining the club of Crypto-friendly ...",neutral,0.01,0.99,0.0,neutral,0.39,0.6,0.01,True,English,"['Iconic', 'Euronext', 'Iconic', 'Euronext']","[""Iconic Funds' Physical Bitcoin ETP Listing"", 'Paris', 'Amsterdam', 'Euronext', 'Michael Geister', 'Crypto ETPs', 'largest exchanges', 'Iconic', 'Head', 'Euronext', 'Europe', 'club', 'Crypto-friendly']",2021-07-02,finance.yahoo.com,
EuroNext,Google API,https://www.webwire.com/ViewPressRel.asp?aId=276173,NFL Biosciences lists on Euronext Growth Paris,"Euronext today congratulates NFL Biosciences, a biopharmaceutical company specialising in the research and development of botanical medicines for the ...","Euronext today congratulates NFL Biosciences, a biopharmaceutical company specialising in the research and development of botanical medicines for the ...",neutral,0.2,0.79,0.01,neutral,0.01,0.99,0.0,True,English,"['NFL Biosciences', 'Euronext Growth Paris', 'Euronext', 'NFL Biosciences']","['NFL Biosciences lists', 'Euronext Growth Paris', 'NFL Biosciences', 'biopharmaceutical company', 'botanical medicines', 'Euronext', 'research', 'development']",2021-07-06,webwire.com,
EuroNext,Google API,https://www.marketplace.org/2021/06/30/euronext-ceo-explains-exchanges-post-brexit-move-from-london/,Euronext CEO explains exchange’s post-Brexit move from London,"In real estate, location is everything. Apparently, so too in financial services. In April, pan-European stock exchange operator Euronext, which functions in major ...","In real estate, location is everything. Apparently, so too in financial services. In April, pan-European stock exchange operator Euronext, which functions in major ...",neutral,0.01,0.98,0.01,negative,0.0,0.01,0.99,True,English,"['Euronext', 'Euronext']","['Euronext CEO', 'post-Brexit move', 'exchange', 'London', 'pan-European stock exchange operator', 'real estate', 'financial services', 'location', 'everything', 'April', 'Euronext', 'major']",2021-06-30,marketplace.org,
EuroNext,Google API,https://ledgerinsights.com/euronext-backed-liquidshare-adopts-daml-for-smart-contracts/,Euronext-backed Liquidshare adopts Daml for smart contracts,"Liquidshare is backed by Societe Generale, BNP Paribas, Euronext and Euroclear, amongst others. When it was founded in 2017, it started with a post-trade ...","Liquidshare is backed by Societe Generale, BNP Paribas, Euronext and Euroclear, amongst others. When it was founded in 2017, it started with a post-trade ...",neutral,0.41,0.58,0.01,neutral,0.01,0.98,0.01,True,English,"['Euronext', 'Liquidshare', 'Liquidshare', 'Societe Generale', 'BNP Paribas', 'Euronext', 'Euroclear']","['Euronext-backed Liquidshare', 'smart contracts', 'Daml', 'Societe Generale', 'BNP Paribas', 'Liquidshare', 'Euronext', 'Euroclear', 'others', 'post-trade']",2021-07-01,ledgerinsights.com,
